date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:01:14	279/279	---MCZ	200	added ('OK')	text/plain	etag:W/%2267ca53bc-352%22	https://truthout.org/robots.txt		(from )
16:01:15	423382/423382	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Apr%202025%2019:56:11%20GMT	https://truthout.org/articles/los-angeles-teachers-union-defends-students-from-trumps-anti-migrant-crackdown/	D:/Larp/truthoutfr/truthout.org/articles/los-angeles-teachers-union-defends-students-from-trumps-anti-migrant-crackdown/index.html	(from )
16:01:16	196099/196099	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2016%20Apr%202025%2023:01:16%20GMT	https://truthout.org/articles/los-angeles-teachers-union-defends-students-from-trumps-anti-migrant-crackdown/e,location.href	D:/Larp/truthoutfr/truthout.org/articles/los-angeles-teachers-union-defends-students-from-trumps-anti-migrant-crackdown/e,location.href	(from https://truthout.org/articles/los-angeles-teachers-union-defends-students-from-trumps-anti-migrant-crackdown/)
16:01:16	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2016%20Apr%202025%2023:01:17%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/Larp/truthoutfr/www.googletagmanager.com/gtm.15445.delayed	(from https://truthout.org/articles/los-angeles-teachers-union-defends-students-from-trumps-anti-migrant-crackdown/)
16:01:16	277789/277789	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2016%20Apr%202025%2023:01:17%20GMT	https://connect.facebook.net/en_US/fbevents.js	D:/Larp/truthoutfr/connect.facebook.net/en_US/fbevents.js	(from https://truthout.org/articles/los-angeles-teachers-union-defends-students-from-trumps-anti-migrant-crackdown/)
16:01:17	152169/152169	---MCZ	200	added ('OK')	text/css	etag:W/%2267ca546b-25269%22	https://truthout.org/app/themes/truthout5/public/styles/app.css?id=3881c13315d96b8d554c34caf140ad7c	D:/Larp/truthoutfr/truthout.org/app/themes/truthout5/public/styles/appfe3e.css	(from https://truthout.org/articles/los-angeles-teachers-union-defends-students-from-trumps-anti-migrant-crackdown/)
16:01:17	87553/87553	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264ecd5f0-15601%22	https://truthout.org/wp/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	D:/Larp/truthoutfr/truthout.org/wp/wp-includes/js/jquery/jquery.minf43b.js	(from https://truthout.org/articles/los-angeles-teachers-union-defends-students-from-trumps-anti-migrant-crackdown/)
16:01:17	13577/13577	---MCZ	200	added ('OK')	application/javascript	etag:W/%226482bd64-3509%22	https://truthout.org/wp/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	D:/Larp/truthoutfr/truthout.org/wp/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://truthout.org/articles/los-angeles-teachers-union-defends-students-from-trumps-anti-migrant-crackdown/)
16:01:17	7576/7576	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266ba112a-1d98%22	https://truthout.org/app/plugins/advanced-ads/public/assets/js/advanced.min.js?ver=1.56.2	D:/Larp/truthoutfr/truthout.org/app/plugins/advanced-ads/public/assets/js/advanced.min2a83.js	(from https://truthout.org/articles/los-angeles-teachers-union-defends-students-from-trumps-anti-migrant-crackdown/)
16:01:18	1448/1448	---M--	200	added ('OK')	image/png	etag:%2267ca53bc-847%22	https://truthout.org/webicons/apple-touch-icon.png	D:/Larp/truthoutfr/truthout.org/webicons/apple-touch-icon.png	(from https://truthout.org/articles/los-angeles-teachers-union-defends-students-from-trumps-anti-migrant-crackdown/)
16:01:18	393/393	---M--	200	added ('OK')	image/png	etag:%2267ca53bc-362%22	https://truthout.org/webicons/favicon-32x32.png	D:/Larp/truthoutfr/truthout.org/webicons/favicon-32x32.png	(from https://truthout.org/articles/los-angeles-teachers-union-defends-students-from-trumps-anti-migrant-crackdown/)
16:01:18	246/246	---M--	200	added ('OK')	image/png	etag:%2267ca53bc-2c6%22	https://truthout.org/webicons/favicon-16x16.png	D:/Larp/truthoutfr/truthout.org/webicons/favicon-16x16.png	(from https://truthout.org/articles/los-angeles-teachers-union-defends-students-from-trumps-anti-migrant-crackdown/)
